India,['hnbgu.ac.in'],Hemwati Nandan Bahuguna Garhwal University,,['http://www.hnbgu.ac.in/'],IN
India,['hnluraipur.com'],"Hidayatullah National Law University, Raipur",,['http://www.hnluraipur.com/'],IN
India,['hostindia.com'],Sri Ramachardra Medical College and Research Institute,,['http://www.hostindia.com/srmc/'],IN
India,['hpuniv.nic.in'],Himachal Pradesh University,,['http://hpuniv.nic.in/'],IN
India,['iari.ernet.in'],Indian Agricultural Research Institute,,['http://www.iari.ernet.in/'],IN
India,['iaseduniv.org'],IASE (Institute of Advanced Studies) Deemed University,,['http://www.iaseduniv.org/'],IN
India,['icfai.org'],ICFAI University,,['http://www.icfai.org/'],IN
India,['iudehradun.edu.in'],"ICFAI University, Dehradun",,['https://www.iudehradun.edu.in/'],IN
India,['iutripura.edu.in'],"ICFAI University, Tripura",,['https://www.iutripura.edu.in/'],IN
India,['iusikkim.edu.in'],"ICFAI University, Sikkim",,['https://www.iusikkim.edu.in/'],IN
India,['iumizoram.edu.in'],"ICFAI University, Mizoram",,['https://www.iumizoram.edu.in/'],IN
India,['iumeghalaya.edu.in'],"ICFAI University, Meghalaya",,['https://www.iumeghalaya.edu.in/'],IN
India,['iujharkhand.edu.in'],"ICFAI University, Jharkhand",,['https://www.iujharkhand.edu.in/'],IN
India,['iunagaland.edu.in'],"ICFAI University, Nagaland",,['https://www.iunagaland.edu.in/'],IN
India,['iujaipur.edu.in'],"ICFAI University, Jaipur",,['https://www.iujaipur.edu.in/'],IN
India,['iuraipur.edu.in'],"ICFAI University, Raipur",,['https://www.iuraipur.edu.in/'],IN
India,['iuhimachal.edu.in'],"ICFAI University, Himachal Pradesh",,['https://www.iuhimachal.edu.in/'],IN
India,['ifheindia.org'],"ICFAI University, Hyderabad",,['https://www.ifheindia.org/'],IN
India,['igau.edu.in'],Indira Gandhi Agricultural University,,['http://www.igau.edu.in/'],IN
India,['igidr.ac.in'],Indira Gandhi Institute of Development and Research,,['http://www.igidr.ac.in/'],IN
India,['igims.org'],Indira Gandhi Institute of Medical Sciences,,['http://www.igims.org/'],IN
India,['ignou.ac.in'],Indira Gandhi National Open University,,['http://www.ignou.ac.in/'],IN
India,['iiita.com'],Indian Institute of Information Technology,,['http://www.iiita.com/'],IN
India,['iiitmk.ac.in'],Indian Institute of Information Technology and Management - Kerala,,['http://www.iiitmk.ac.in/'],IN
India,['iiitm.ac.in'],Indian Institute of Information Technology and Management - Gwalior,,['http://www.iiitm.ac.in/'],IN
India,['iiitd.ac.in'],"Indraprastha Institute of Information Technology, Delhi",,['http://www.iiitd.ac.in/'],IN
India,['squareit.ac.in'],"International Institute of Information Technology, Pune",,['www.isquareit.ac.in/'],IN
India,['iiit-bh.ac.in'],"International Institute of Information Technology, Bhubaneswar",,['www.iiit-bh.ac.in/'],IN
India,['iiitb.ac.in'],"International Institute of Information Technology, Bangalore",,['www.iiitb.ac.in/'],IN
India,['iimtrichy.ac.in'],"Indian Institute of Management, Tiruchirappalli",,['http://www.iimtrichy.ac.in/'],IN
India,['iiitg.ac.in'],"Indian Institute of Information Technology, Guwahati",,['http://www.iimtrichy.ac.in/'],IN
India,['iiitvadodara.ac.in'],"Indian Institute of Information Technology, Vadodara",,['http://iiitvadodara.ac.in/'],IN
India,['iiitkota.ac.in'],"Indian Institute of Information Technology, Kota",,['http://iiitkota.ac.in/'],IN
India,['iipsindia.org'],International Institute for Population Sciences,,['http://www.iipsindia.org/'],IN
India,['iisc.ernet.in'],Indian Institute of Science,,['http://www.iisc.ernet.in/'],IN
India,['iitb.ac.in'],"Indian Institute of Technology, Bombay",,['http://www.iitb.ac.in/'],IN
India,['iitd.ernet.in'],"Indian Institute of Technology, Delhi",,['http://www.iitd.ernet.in/'],IN
India,['iitgn.ac.in'],"Indian Institute of Technology, Gandhinagar",,['https://iitgn.ac.in/'],IN
India,"['iitg.ernet.in', 'iitg.ac.in']","Indian Institute of Technology, Guwahati",,"['http://www.iitg.ernet.in/', 'http://www.iitg.ac.in/']",IN
India,['iith.ac.in'],"Indian Institute of Technology, Hyderabad",,['http://www.iith.ac.in/'],IN
India,['iitk.ac.in'],"Indian Institute of Technology, Kanpur",,['http://www.iitk.ac.in/'],IN
India,['iitkgp.ernet.in'],"Indian Institute of Technology, Kharagpur",,['http://www.iitkgp.ernet.in/'],IN
India,['iitm.ac.in'],"Indian Institute of Technology, Madras",,['http://www.iitm.ac.in/'],IN
India,['mitindia.edu'],Madras Institute of Technology,,['https://www.mitindia.edu/en/'],IN
India,['iitr.ac.in'],"Indian Institute of Technology, Roorkee",,['http://www.iitr.ac.in/'],IN
India,['iitp.ac.in'],"Indian Institute of Technology, Patna",,['http://www.iitp.ac.in/'],IN
India,['iiti.ac.in'],"Indian Institute of Technology, Indore",,['http://www.iiti.ac.in/'],IN
India,['iitj.ac.in'],"Indian Institute of Technology, Jodhpur",,['http://www.iitj.ac.in/'],IN
India,['iksvv.com'],University of Music and Fine Arts,,['http://www.iksvv.com/'],IN
India,['ilidelhi.org'],Indian Law Institue,,['http://www.ilidelhi.org/'],IN
India,['indusuni.ac.in'],Indus University,,['http://www.indusuni.ac.in/'],IN
India,['integraluniversity.ac.in'],Integral University,,['http://www.integraluniversity.ac.in/'],IN
India,['ipu.ac.in'],Guru Gobind Singh Indraprastha University,,['http://www.ipu.ac.in/'],IN
India,['isbm.org.in'],Indian School of Business Management and Administration,,['http://isbm.org.in/'],IN
India,['isical.ac.in'],Indian Statistical Institute,,['http://www.isical.ac.in/'],IN
India,['ismdhanbad.ac.in'],Indian School of Mines (ISM),,['http://www.ismdhanbad.ac.in/'],IN
India,['itmindia.edu'],Institute of Technology and Management,,['http://www.itmindia.edu/'],IN
India,['iur.ac.in'],Indian University,,['http://www.iur.ac.in/'],IN
India,['ivri.nic.in'],Indian Veterinary Research Institute,,['http://www.ivri.nic.in/'],IN
India,['jadavpur.edu'],Jadavpur University,,['http://www.jadavpur.edu/'],IN
India,['jainuniversity.org'],First Global University to teaching Jainism,,['http://www.jainuniversity.org/'],IN
India,['jamiahamdard.edu'],Jamia Hamdard University,,['http://www.jamiahamdard.edu/'],IN
India,['jammuvarsity.org'],University of Jammu,,['http://www.jammuvarsity.org/'],IN
India,['jiit.ac.in'],Jaypee Institute of Information Technology,,['http://www.jiit.ac.in/'],IN
India,['jiwaji.edu'],Jiwaji University,,['http://www.jiwaji.edu/'],IN
India,['jmi.nic.in'],Jamia Millia Islamia University,,['http://jmi.nic.in/'],IN
India,['jncasr.ac.in'],Jawaharlal Nehru Centre for Advanced  Scientific Research,,['http://www.jncasr.ac.in/'],IN
India,['jnkvv.nic.in'],Jawaharlal Nehru Agricultural University,,['http://www.jnkvv.nic.in/'],IN
India,['jntu.ac.in'],Jawaharlal Nehru Technological University,,['http://www.jntu.ac.in/'],IN
India,['jnu.ac.in'],Jawaharlal Nehru University,,['http://www.jnu.ac.in/'],IN
India,['jnujaipur.ac.in'],Jaipur National University,,['http://www.jnujaipur.ac.in/'],IN
India,['jodhpurnationaluniversity.com'],Jodhpur National University,,['http://www.jodhpurnationaluniversity.com/'],IN
India,['jpv.bih.nic.in'],Jai Prakash University,,['http://jpv.bih.nic.in/'],IN
India,['jrnrvu.org'],Rajasthan Vidyapeeth University,,['http://www.jrnrvu.org/'],IN
India,['jvbi.ac.in'],Jain Vishva Bharati Institute,,['http://www.jvbi.ac.in/'],IN
India,['kalingauniversity.com'],Kalinga University,,['http://www.kalingauniversity.com/'],IN
India,['kanchiuniv.ac.in'],Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,,['http://www.kanchiuniv.ac.in/'],IN
India,['kannadauniversity.org'],Kannada University,,['http://www.kannadauniversity.org/'],IN
India,['kannuruniversity.ac.in'],Kannur University,,['http://www.kannuruniversity.ac.in/'],IN
India,['kanpuruniversity.org'],Chhatrapati Shahu Ji Maharaj University,,['http://www.kanpuruniversity.org/'],IN
India,['kanpuruniversity.org'],Kanpur University,,['http://www.kanpuruniversity.org/'],IN
India,['karnatakastateopenuniversity.in'],Karnataka State Open University,,['http://www.karnatakastateopenuniversity.in/'],IN
India,['karpagamuniv.com'],Karpagam University,,['http://www.karpagamuniv.com/'],IN
India,['karunya.edu'],Karunya Institute Of Technology ( Deemed University),,['http://www.karunya.edu/'],IN
India,['kashmiruniversity.net'],University of Kashmir,,['http://kashmiruniversity.net/'],IN
India,['kau.edu'],Kerala Agricultural University,,['http://www.kau.edu/'],IN
India,['keralauniversity.ac.in'],University of Kerala,,['http://www.keralauniversity.ac.in/'],IN
India,['kimi.kohinoor.ac.in'],Kohinoor School of Hospitality Management,,['http://kimi.kohinoor.ac.in/'],IN
India,['klyuniv.ac.in'],University of Kalyani,,['http://www.klyuniv.ac.in/'],IN
India,['krishnauniversity.ac.in'],Krishna University,,['http://www.krishnauniversity.ac.in/'],IN
India,['ksdsu.edu.in'],Kameshwar Singh Darbhanga Sanskrit University,,['http://www.ksdsu.edu.in/'],IN
India,['kslu.ac.in'],Karnataka State Law University,,['http://www.kslu.ac.in/'],IN
India,['kud.ac.in'],Karnatak University,,['http://www.kud.ac.in/'],IN
India,['kufos.ac.in'],Kerala University of Fisheries and Ocean Sciences,,['http://www.kufos.ac.in/'],IN
India,['kukinfo.com'],Kurukshetra University,,['http://www.kukinfo.com/'],IN
India,['kct.ac.in'],Kumaraguru College of Technology,,['http://www.kct.ac.in/'],IN
India,['kumaununiversity.org'],Kumaun University,,['http://www.kumaununiversity.org/'],IN
India,['kuvempu.ac.in'],Kuvempu University,,['http://www.kuvempu.ac.in/'],IN
India,['kuwarangal.com'],Kakatiya University,,['http://www.kuwarangal.com/'],IN
India,['ldceahd.org'],L.D.College of Engineering,,['http://www.ldceahd.org/'],IN
India,['lnipe.edu'],Lakshmibai National Institute of Physical Education,,['http://www.lnipe.edu/'],IN
India,['lnmu.bih.nic.in'],Lalit Narayan Mithila University,,['http://lnmu.bih.nic.in/'],IN
India,['lucknowuniv.org'],University of Lucknow,,['http://www.lucknowuniv.org/'],IN
India,['macfast.org'],Mar Athanasios College for Advanced Studies,,['http://www.macfast.org/'],IN
India,['magadhuniversity.org'],Magadh University,,['http://www.magadhuniversity.org/'],IN
India,['mangaloreuniversity.ac.in'],Mangalore University,,['http://www.mangaloreuniversity.ac.in/'],IN
India,['manipal.edu'],Manipal University,,['http://www.manipal.edu/'],IN
India,['manipur.nic.in'],Manipur University,,['http://www.manipur.nic.in/maniuniversity.htm'],IN
India,['manuu.ac.in'],Moulana Azad national Urdu University,,['http://www.manuu.ac.in/'],IN
India,['mcu.ac.in'],Makanlal Chutur Vedi University,,['http://www.mcu.ac.in/'],IN
India,['mcu.ac.in'],Makhanlal Chaturvedi National University of Journalism and Communication,,['http://www.mcu.ac.in/'],IN
India,['mdsuajmer.ac.in'],Maharshi Dayanand Sarswati University Ajmer,,['http://www.mdsuajmer.ac.in/'],IN
India,['mdurohtak.com'],"Maharishi Dayanand University, Rohtak (Haryana )",,['http://www.mdurohtak.com/'],IN
India,['mgkvp.ac.in'],Mahatma Gandhi Kashi Vidyapith,,['http://www.mgkvp.ac.in/'],IN
India,['mgsubikaner.ac.in'],"Maharaja Ganga Singh University, Bikaner",,['http://www.mgsubikaner.ac.in/'],IN
India,['mgu.ac.in'],"Mahatma Gandhi University, Kerala",,['http://www.mgu.ac.in/'],IN
India,['mjpru.ac.in'],Mahatma Jyotiba Phule Rohilkhand University Bareilly,,['http://www.mjpru.ac.in/'],IN
India,['mkuhyd.com'],Madurai Kamaraj University,,['http://www.mkuhyd.com/'],IN
India,['mkv2.mah.nic.in'],Marathwada Agricultural University,,['http://mkv2.mah.nic.in/'],IN
India,['mlsu.ac.in'],Mohan Lal Sukhadia University,,['http://www.mlsu.ac.in/'],IN
India,['mnnit.ac.in'],Motilal Nehru National Institute Of Technology,,['http://www.mnnit.ac.in/'],IN
India,['mpbou.org'],Madhya Pradesh Bhoj (Open) University,,['http://www.mpbou.org/'],IN
India,['mpkv.mah.nic.in'],Mahatma Phule Agricultural University,,['http://mpkv.mah.nic.in/'],IN
India,['msubaroda.ac.in'],Maharaja Sayajirao University of Baroda,,['http://www.msubaroda.ac.in/'],IN
India,['mu.ac.in'],University of Mumbai,,['http://www.mu.ac.in/'],IN
India,['nagarjunauniversity.ac.in'],Acharya Nagarjuna University,,['http://www.nagarjunauniversity.ac.in/'],IN
India,['nagauniv.org.in'],Nagaland University,,['http://www.nagauniv.org.in/'],IN
India,['nagpur-university.com'],Nagpur University,,['http://www.nagpur-university.com/'],IN
India,['nalandaopenuniversity.info'],Nalanda Open University,,['http://www.nalandaopenuniversity.info/'],IN
India,['nationalmuseumindia.org'],"National Museum Institute of History of Art, Conservation and Museology",,['http://www.nationalmuseumindia.org/nmi/index.htm'],IN
India,['nbu.ac.in'],University of North Bengal,,['http://www.nbu.ac.in/'],IN
India,['ndri.nic.in'],National Dairy Research Institute,,['http://ndri.nic.in/'],IN
India,['nduat.nic.in'],Narendra Deva University of Agriculture and Technology,,['http://www.nduat.nic.in/'],IN
India,['nehu.ac.in'],North Eastern Hill University,,['http://www.nehu.ac.in/'],IN
India,['ngu.ac.in'],Hemchandracharay North Gujarat University,,['http://www.ngu.ac.in/'],IN
India,['nimhans.kar.nic.in'],National Institute of Mental Health and Neuro Sciences,,['http://www.nimhans.kar.nic.in/'],IN
India,['nims.ap.nic.in'],Nizam's Institute of Medical Sciences,,['http://nims.ap.nic.in/'],IN
India,['nims.net.in'],Institute of Management Studies,,['http://www.nims.net.in/'],IN
India,['nirmauni.ac.in'],Nirma University,,['http://www.nirmauni.ac.in/'],IN
India,['nitie.edu'],National Institute of Industrial Engineering,,['http://www.nitie.edu/'],IN
India,['nita.ac.in'],National Institute of Technology Agartala,,['http://www.nita.ac.in/'],IN
India,['nitandhra.ac.in'],National Institute of Technology Andhra Pradesh,,['http://www.nitandhra.ac.in/'],IN
